iter	Passed	Remaining
634	860	494
635	861	493
636	863	492
637	864	490
638	865	489
639	867	487
640	867	486
641	868	484
642	869	482
643	870	481
644	871	479
645	872	478
646	873	476
647	874	474
648	875	473
649	876	471
650	877	470
651	878	468
652	879	467
653	880	465
654	881	464
655	882	462
656	883	461
657	884	459
658	885	458
659	886	456
660	887	455
661	888	453
662	889	452
663	890	450
664	891	449
665	892	447
666	893	446
667	894	444
668	895	443
669	896	441
670	898	440
671	899	438
672	899	437
673	900	435
674	901	434
675	902	432
676	903	431
677	904	429
678	905	428
679	906	426
680	907	425
681	908	423
682	909	422
683	911	420
684	911	419
685	912	417
686	913	416
687	914	414
688	915	413
689	917	412
690	918	410
691	919	409
692	920	407
693	922	406
694	923	405
695	924	403
696	925	402
697	926	400
698	927	399
699	928	397
700	929	396
701	931	395
702	931	393
703	932	392
704	933	390
705	934	389
706	935	387
707	937	386
708	938	385
709	938	383
710	939	382
711	940	380
712	941	379
713	942	377
714	943	376
715	944	374
716	945	373
717	946	371
718	947	370
719	948	369
720	949	367
721	950	366
722	951	364
723	953	363
724	954	362
725	956	360
726	957	359
727	958	358
728	959	356
729	960	355
730	961	353
731	962	352
732	963	350
733	963	349
734	964	347
735	965	346
736	967	345
737	968	343
738	969	342
739	970	340
740	971	339
741	972	338
742	973	336
743	974	335
744	975	333
745	976	332
746	977	331
747	978	329
748	979	328
749	980	326
750	981	325
751	982	323
752	983	322
753	984	321
754	986	320
755	987	318
756	988	317
757	989	315
758	990	314
759	991	313
760	992	311
761	993	310
762	994	308
763	995	307
764	996	305
765	997	304
766	998	303
767	1000	302
768	1001	300
769	1002	299
770	1003	297
771	1004	296
772	1005	295
773	1006	293
774	1007	292
775	1008	291
776	1009	289
777	1010	288
778	1011	286
779	1012	285
780	1013	284
781	1014	282
782	1015	281
783	1015	279
784	1016	278
785	1017	277
786	1018	275
787	1019	274
788	1020	272
789	1021	271
790	1022	270
791	1023	268
792	1024	267
793	1025	266
794	1026	264
795	1027	263
796	1028	261
797	1029	260
798	1030	259
799	1031	257
800	1032	256
801	1033	255
802	1034	253
803	1035	252
804	1037	251
805	1039	250
806	1040	248
807	1042	247
808	1043	246
809	1044	245
810	1045	243
811	1046	242
812	1047	240
813	1048	239
814	1048	238
815	1050	236
816	1050	235
817	1052	234
818	1053	232
819	1054	231
820	1055	230
821	1056	228
822	1057	227
823	1058	226
824	1060	224
825	1061	223
826	1062	222
827	1063	220
828	1064	219
829	1065	218
830	1066	216
831	1067	215
832	1068	214
833	1069	212
834	1070	211
835	1071	210
836	1072	208
837	1073	207
838	1074	206
839	1075	204
840	1076	203
841	1077	202
842	1078	200
843	1079	199
844	1081	198
845	1082	196
846	1083	195
847	1083	194
848	1084	192
849	1085	191
850	1086	190
851	1087	188
852	1088	187
853	1089	186
854	1090	185
855	1092	183
856	1093	182
857	1094	181
858	1095	179
859	1096	178
860	1097	177
861	1098	175
862	1098	174
863	1099	173
864	1100	171
865	1101	170
866	1102	169
867	1103	167
868	1104	166
869	1105	165
870	1107	164
871	1108	162
872	1109	161
873	1110	160
874	1111	158
875	1112	157
876	1113	156
877	1114	154
878	1115	153
879	1116	152
880	1117	150
881	1118	149
882	1120	148
883	1121	147
884	1122	145
885	1123	144
886	1123	143
887	1125	141
888	1126	140
889	1127	139
890	1128	137
891	1129	136
892	1129	135
893	1130	134
894	1131	132
895	1132	131
896	1133	130
897	1134	128
898	1136	127
899	1137	126
900	1138	125
901	1140	123
902	1141	122
903	1142	121
904	1143	120
905	1144	118
906	1146	117
907	1147	116
908	1148	114
909	1149	113
910	1149	112
911	1151	111
912	1152	109
913	1153	108
914	1155	107
915	1156	106
916	1157	104
917	1158	103
918	1159	102
919	1160	100
920	1161	99
921	1162	98
922	1163	97
923	1164	95
924	1165	94
925	1166	93
926	1167	91
927	1168	90
928	1170	89
929	1171	88
930	1172	86
931	1172	85
932	1173	84
933	1174	83
934	1175	81
935	1176	80
936	1177	79
937	1178	77
938	1179	76
939	1180	75
940	1181	74
941	1183	72
942	1184	71
943	1185	70
944	1186	69
945	1187	67
946	1188	66
947	1189	65
948	1190	63
949	1191	62
950	1192	61
951	1193	60
952	1193	58
953	1194	57
954	1195	56
955	1197	55
956	1199	53
957	1200	52
958	1201	51
959	1202	50
960	1203	48
961	1204	47
962	1205	46
963	1205	45
964	1206	43
965	1208	42
966	1209	41
967	1209	39
968	1210	38
969	1212	37
970	1213	36
971	1214	34
972	1215	33
973	1216	32
974	1217	31
975	1218	29
976	1219	28
977	1220	27
978	1221	26
979	1222	24
980	1223	23
981	1224	22
982	1225	21
983	1226	19
984	1227	18
985	1228	17
986	1230	16
987	1231	14
988	1232	13
989	1232	12
990	1233	11
991	1234	9
992	1236	8
993	1237	7
994	1238	6
995	1239	4
996	1240	3
997	1241	2
998	1242	1
999	1243	0
